,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
HOXB-AS3,0.0001003605028756762,0.0001013441493416792,0.39092098096620725,10231.0,60,False,False
HOXB-AS2,1.490502517955587e-06,1.4905010368896805e-06,0.008114324013285443,11802.0,1,False,False
HOXB4,6.0116934890875346e-05,6.210068838936635e-05,0.33311258793368403,11091.0,69,False,False
AC103702.1,1.2420854316296559e-05,1.24207062097059e-05,0.07337276947452896,16321.5,14,False,False
HOXB5,6.45884424447421e-06,6.458805736760639e-06,0.032596781588817375,17063.0,6,False,False
HOXB6,3.4778392085630363e-06,3.477828841101691e-06,0.02360385937942204,13777.0,5,False,False
HOXB7,6.756944748065328e-05,6.955225309696414e-05,0.2866883376002738,15792.0,47,False,False
HOXB8,1.8382864388118907e-05,1.8382535591487665e-05,0.05997169884196726,10231.0,10,False,False
HOXB9,5.465175899170485e-06,5.4651487462955315e-06,0.031278895530468774,7417.0,5,False,False
HOXB-AS4,2.0370201078726355e-05,2.0369796254045227e-05,0.07388018960152391,15232.5,8,False,False
AC103702.2,2.583537697789684e-05,2.5834722346766136e-05,0.1273442743949977,15202.0,20,False,False
LINC02086,0.0010314277424252661,0.0010422884372256215,1.0754186342064112,9266.0,173,False,True
PRAC1,1.490502517955587e-06,1.4905010368896805e-06,0.006011204842088807,16485.0,1,False,False
PRAC2,9.936683453037246e-07,9.936678516150893e-07,0.003858416637016709,17658.0,1,False,False
HOXB13,1.689236187016332e-05,1.6892084910838794e-05,0.05746958912214266,18462.0,6,False,False
AC091179.1,0.0,0.0,0.0,,0,False,False
TTLL6,0.01225292436594023,0.015122555825199953,1.408199348743861,9111.0,247,False,True
CALCOCO2,0.18086005969959418,0.2720632573407026,1.132364144606338,16011.5,330,False,True
ATP5MC1,0.10655552817447227,0.16029475319399206,1.558961404607387,8154.5,278,False,True
UBE2Z,0.18224473653877493,0.23752284504363352,1.4273589295195848,9756.0,345,False,True
SNF8,0.12925786885962645,0.17580529906887502,1.0553811474072665,17157.0,251,False,True
AC091133.1,0.011596109589694467,0.01238774488455307,0.9924892225975234,15309.5,168,False,True
GIP,0.00049087216258004,0.0004946061262184907,0.721298522374947,11449.0,97,False,False
AC091133.3,1.490502517955587e-06,1.4905010368896805e-06,0.012026236117373286,10288.0,2,False,False
IGF2BP1,0.0009102002042982118,0.0009302392373123028,1.1064350790202124,8654.0,165,False,True
AC091133.4,0.0001530249251767736,0.00015399525340445628,0.5088121870675247,12626.0,82,False,False
B4GALNT2,0.0014095185478133333,0.0014174691929767884,1.0466019706891534,10224.0,160,False,False
GNGT2,0.0007064981935109482,0.0007437588204598347,1.0638325986628159,7247.5,166,False,True
ABI3,0.004470513885521457,0.005058655931759268,3.359182054141493,1409.0,343,False,True
PHOSPHO1,0.0022034595557110094,0.0023635544413124175,1.0471170328208663,8959.0,160,False,False
AC004797.1,0.045519450064190975,0.053643487273150006,1.30106059864671,12280.5,316,False,True
ZNF652,0.586260845889989,1.2049304385413062,1.954386223355116,5085.5,346,True,True
AC091180.2,0.009668889833977894,0.010387234602199119,1.7153998913888078,7078.0,325,False,True
AC091180.5,0.01595881045975047,0.01778587084850989,1.657441308511884,7097.0,331,False,True
AC091180.4,9.48953269765057e-05,9.488636899621454e-05,0.3612509745414712,12185.0,69,False,False
PHB,0.046378476348706045,0.05268564441161467,1.5211712134662463,9020.0,321,False,True
AC091180.3,0.0001252022115082693,0.00012618026695047547,0.4278313552199085,14964.0,67,False,False
LINC02075,7.452512589777935e-06,7.452460752471208e-06,0.028326849945696654,18767.0,3,False,False
NGFR,0.0031861975492163933,0.0037126284454186216,1.8857184037599177,4426.0,303,False,True
AC006487.1,0.002164706490244164,0.0024889259949343392,1.3713800849501623,7513.0,222,False,True
AC006487.2,0.0005937168363189754,0.0006092633328649627,0.7664288230344596,11511.5,108,False,False
